id,active_ingredient,brand_name,manufacturer,therapeutic_group,pharmacological_class,drug_type,strength,dosage_form,route,indication,indication_category,side_effects,pregnancy_category,controlled_substance,otc_or_rx,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug
1876,Amlodipine,Amcard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
1877,Salbutamol,Brodil,GSK,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Inhaler,Inhalation,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
1878,Amoxicillin + Clavulanate,Amoclav,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
1879,Ciprofloxacin,Flocin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Syrup,IV,Respiratory infection,Infectious,Nausea,C,No,RX,1,0,1,0
1880,Insulin Glargine,Toujeo,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
1881,Fluoxetine,Depzac,Square,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,Panic disorder,Neurological,Nausea,C,No,RX,0,1,1,0
1882,Omeprazole,Seclo,Square,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,IV,Acid reflux,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
1883,Omeprazole,Losectil,Incepta,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,Oral,GERD,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
1884,Insulin Glargine,Glaritus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
1885,Atorvastatin,Atocor,Pfizer,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
1886,Amlodipine,Amdocal,Renata,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Edema,C,No,RX,1,1,1,0
1887,Paracetamol,Renova,Square,Analgesic,Para-aminophenol,Small molecule,500 mg,Syrup,IV,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
1888,Atorvastatin,Storvas,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
1889,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,IV,Acid reflux,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
1890,Azithromycin,Zithromax,Pfizer,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Syrup,Oral,Skin infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
1891,Ciprofloxacin,Ciprosin,Square,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Injection,Oral,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
1892,Ciprofloxacin,Cipro,Renata,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Injection,Oral,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
1893,Lisinopril,Prinivil,Merck,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
1894,Ciprofloxacin,Cipro,Bayer,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,IV,Urinary tract infection,Infectious,Dizziness,C,No,RX,1,0,1,0
1895,Metformin,Glucophage,Renata,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Diabetes,Endocrine,Nausea,B,No,RX,1,1,1,0
1896,Azithromycin,Zimax,ACI,Antibiotic,Macrolide,Small molecule,250 mg,Capsule,Oral,Skin infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
1897,Amoxicillin + Clavulanate,Moxaclave,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,2,1
1898,Ibuprofen,Nurofen,Renata,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
1899,Paracetamol,Panadol,Beximco,Analgesic,Para-aminophenol,Small molecule,500 mg,Capsule,IV,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
1900,Fluoxetine,Prozac,Beximco,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,OCD,Neurological,Dizziness,C,No,RX,0,1,1,0
1901,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergy,General,Drowsiness,B,No,OTC,0,1,1,0
1902,Metformin,Glycomet,Renata,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
1903,Ibuprofen,Brufen,Renata,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Fever,General,Gastric irritation,D,No,OTC,1,1,1,0
1904,Ciprofloxacin,Flocin,Renata,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,Oral,Respiratory infection,Infectious,Dizziness,C,No,RX,1,0,1,0
1905,Atorvastatin,Storvas,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
1906,Fluoxetine,Prozac,Renata,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Depression,Neurological,Nausea,C,No,RX,0,1,1,0
1907,Losartan,Losatin,Novartis,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Hypertension,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
1908,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Syrup,Inhalation,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
1909,Paracetamol,Panadol,ACI,Analgesic,Para-aminophenol,Small molecule,500 mg,Syrup,Oral,Fever,General,Nausea,A,No,OTC,0,1,1,0
1910,Salbutamol,Ventolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Oral,COPD,Respiratory,Tremor,C,No,RX,0,0,1,0
1911,Losartan,Losatin,Square,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
1912,Salbutamol,Brodil,ACI,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Tablet,Oral,Bronchospasm,Respiratory,Headache,C,No,RX,0,0,1,0
1913,Paracetamol,Tylenol,ACI,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Syrup,Oral,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
1914,Fluoxetine,Fluoxin,Renata,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
1915,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Hypertension,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
1916,Atorvastatin,Atorin,Beximco,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
1917,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
1918,Metformin,Glycomet,Beximco,Antidiabetic,Biguanide,Small molecule,500 mg,Capsule,Oral,Diabetes,Endocrine,Nausea,B,No,RX,1,1,1,0
1919,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Injection,Oral,GERD,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
1920,Lisinopril,Zestril,Square,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
1921,Metformin,Glycomet,Beximco,Antidiabetic,Biguanide,Small molecule,850 mg,Capsule,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
1922,Insulin Glargine,Glaritus,Beximco,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
1923,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,IV,GERD,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
1924,Fluoxetine,Prozac,Square,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Panic disorder,Neurological,Nausea,C,No,RX,0,1,1,0
1925,Metformin,Obimet,ACI,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Diarrhea,B,No,RX,1,1,1,0
1926,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Pain,General,Nausea,A,No,OTC,0,1,1,0
1927,Atorvastatin,Lipitor,Renata,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
1928,Lisinopril,Lisinace,Square,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Hypertension,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
1929,Insulin Glargine,Glaritus,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
1930,Insulin Glargine,Glaritus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
1931,Ibuprofen,Profen,Incepta,Analgesic,NSAID,Small molecule,200 mg,Syrup,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
1932,Insulin Glargine,Glaritus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
1933,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergy,General,Drowsiness,B,No,OTC,0,1,1,0
1934,Salbutamol,Brodil,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Syrup,Oral,Bronchospasm,Respiratory,Palpitation,C,No,RX,0,0,1,0
1935,Losartan,Losatin,Square,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
1936,Amoxicillin + Clavulanate,Moxaclave,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
1937,Salbutamol,Ventolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Tablet,Inhalation,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
1938,Paracetamol,Renova,ACI,Analgesic,Para-aminophenol,Small molecule,500 mg,Capsule,IV,Pain,General,Nausea,A,No,OTC,0,1,1,0
1939,Lisinopril,Prinivil,Merck,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
1940,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Sinusitis,Infectious,Nausea,B,No,RX,0,0,2,1
1941,Azithromycin,Zithromax,Pfizer,Antibiotic,Macrolide,Small molecule,500 mg,Capsule,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
1942,Atorvastatin,Atocor,Pfizer,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
1943,Ibuprofen,Brufen,ACI,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
1944,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergic rhinitis,General,Drowsiness,B,No,OTC,0,1,1,0
1945,Insulin Glargine,Lantus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
1946,Atorvastatin,Atocor,Square,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
1947,Metformin,Glycomet,Incepta,Antidiabetic,Biguanide,Small molecule,850 mg,Capsule,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
1948,Ciprofloxacin,Bacquinor,Bayer,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Injection,Oral,Urinary tract infection,Infectious,Headache,C,No,RX,1,0,1,0
1949,Insulin Glargine,Toujeo,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
1950,Amoxicillin + Clavulanate,Moxaclave,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
1951,Lisinopril,Zestril,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
1952,Atorvastatin,Atocor,Square,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
1953,Azithromycin,Azithrin,Pfizer,Antibiotic,Macrolide,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
1954,Fluoxetine,Flutin,Eli Lilly,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
1955,Fluoxetine,Flutin,Renata,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
1956,Ibuprofen,Brufen,Square,Analgesic,NSAID,Small molecule,400 mg,Capsule,Oral,Pain,General,Gastric irritation,D,No,OTC,1,1,1,0
1957,Cetirizine,Zyrtec,ACI,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Allergy,General,Dry mouth,B,No,OTC,0,1,1,0
1958,Cetirizine,Alatrol,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergic rhinitis,General,Fatigue,B,No,OTC,0,1,1,0
1959,Omeprazole,Prilosec,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,IV,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
1960,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Post-MI,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
1961,Lisinopril,Zestril,Square,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Headache,D,No,RX,0,1,1,0
1962,Insulin Glargine,Basalin,Beximco,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
1963,Lisinopril,Listril,Merck,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
1964,Amoxicillin + Clavulanate,Moxaclave,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
1965,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,1000 mg,Syrup,Oral,Pain,General,Nausea,A,No,OTC,0,1,1,0
1966,Lisinopril,Zestril,Merck,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
1967,Insulin Glargine,Basalin,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
1968,Azithromycin,Zimax,Square,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
1969,Amlodipine,Amlogard,Square,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Headache,C,No,RX,1,1,1,0
1970,Paracetamol,Ace,Incepta,Analgesic,Para-aminophenol,Small molecule,500 mg,Syrup,Oral,Pain,General,Rash,A,No,OTC,0,1,1,0
1971,Omeprazole,Prilosec,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,Oral,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
1972,Fluoxetine,Flutin,Square,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Depression,Neurological,Headache,C,No,RX,0,1,1,0
1973,Losartan,Losacar,Square,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Hypertension,Cardiovascular,Cough,D,No,RX,0,1,1,0
1974,Atorvastatin,Lipitor,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
1975,Azithromycin,Azit,Square,Antibiotic,Macrolide,Small molecule,250 mg,Syrup,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
1976,Omeprazole,Omepra,Incepta,Antacid,Proton pump inhibitor,Small molecule,20 mg,Injection,Oral,GERD,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
1977,Amoxicillin + Clavulanate,Clavam,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
1978,Ciprofloxacin,Flocin,Square,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Tablet,IV,Infection,Infectious,Dizziness,C,No,RX,1,0,1,0
1979,Amlodipine,Amcard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
1980,Amoxicillin + Clavulanate,Moxaclave,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Sinusitis,Infectious,Diarrhea,B,No,RX,0,0,2,1
1981,Amoxicillin + Clavulanate,Moxaclave,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,2,1
1982,Salbutamol,Sultolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Syrup,Inhalation,Asthma,Respiratory,Headache,C,No,RX,0,0,1,0
1983,Atorvastatin,Atorin,Square,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Headache,X,No,RX,1,1,1,0
1984,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
1985,Salbutamol,Salbu,ACI,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
1986,Ibuprofen,Brufen,Renata,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Fever,General,Dizziness,D,No,OTC,1,1,1,0
1987,Salbutamol,Ventolin,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Syrup,Oral,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
1988,Ibuprofen,Advil,Square,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
1989,Salbutamol,Salbu,Square,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
1990,Cetirizine,Alatrol,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergy,General,Headache,B,No,OTC,0,1,1,0
1991,Ciprofloxacin,Flocin,Bayer,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Tablet,IV,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
1992,Losartan,Cozaar,Beximco,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
1993,Azithromycin,Azit,Square,Antibiotic,Macrolide,Small molecule,250 mg,Syrup,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,1,0
1994,Insulin Glargine,Basalin,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
1995,Insulin Glargine,Glaritus,Beximco,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
1996,Insulin Glargine,Toujeo,Beximco,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
1997,Fluoxetine,Prozac,Renata,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,OCD,Neurological,Dizziness,C,No,RX,0,1,1,0
1998,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Tablet,IV,Peptic ulcer,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
1999,Cetirizine,Cetrizin,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergy,General,Fatigue,B,No,OTC,0,1,1,0
2000,Insulin Glargine,Glaritus,Beximco,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
2001,Cetirizine,Cetrizin,Square,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergy,General,Fatigue,B,No,OTC,0,1,1,0
2002,Azithromycin,Zithromax,Square,Antibiotic,Macrolide,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
2003,Cetirizine,Alatrol,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergic rhinitis,General,Fatigue,B,No,OTC,0,1,1,0
2004,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
2005,Insulin Glargine,Basalin,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
2006,Metformin,Obimet,ACI,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
2007,Losartan,Cozaar,Beximco,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
2008,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
2009,Metformin,Glycomet,Beximco,Antidiabetic,Biguanide,Small molecule,500 mg,Capsule,Oral,Insulin resistance,Endocrine,Diarrhea,B,No,RX,1,1,1,0
2010,Fluoxetine,Depzac,Renata,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,OCD,Neurological,Dizziness,C,No,RX,0,1,1,0
2011,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,1000 mg,Tablet,Oral,Pain,General,Rash,A,No,OTC,0,1,1,0
2012,Amoxicillin + Clavulanate,Augmentin,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Sinusitis,Infectious,Nausea,B,No,RX,0,0,2,1
2013,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
2014,Amoxicillin + Clavulanate,Augmentin,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
2015,Losartan,Losartan-MSD,Beximco,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Heart failure,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
2016,Salbutamol,Ventolin,ACI,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Tablet,Oral,Asthma,Respiratory,Tachycardia,C,No,RX,0,0,1,0
2017,Amoxicillin + Clavulanate,Augmentin,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Sinusitis,Infectious,Vomiting,B,No,RX,0,0,2,1
2018,Cetirizine,Cetrizin,ACI,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Urticaria,General,Headache,B,No,OTC,0,1,1,0
2019,Insulin Glargine,Lantus,Beximco,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
2020,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
2021,Atorvastatin,Storvas,Beximco,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Headache,X,No,RX,1,1,1,0
2022,Ciprofloxacin,Flocin,Square,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Tablet,Oral,Respiratory infection,Infectious,Dizziness,C,No,RX,1,0,1,0
2023,Lisinopril,Zestril,Merck,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
2024,Paracetamol,Renova,Renata,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Capsule,Oral,Fever,General,Rash,A,No,OTC,0,1,1,0
2025,Losartan,Losartan-MSD,Novartis,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Hypertension,Cardiovascular,Cough,D,No,RX,0,1,1,0
